E 44/500 | Loss:0.2722 | TrA:74.05% TrF1:74.05% | VAcc:76.25% VF1:76.25% | ETA:182.0min | BestVAcc:76.25%
E 45/500 | Loss:0.1661 | TrA:81.33% TrF1:81.33% | VAcc:75.00% VF1:75.00% | ETA:182.1min | BestVAcc:76.25%
E 46/500 | Loss:0.1143 | TrA:84.18% TrF1:84.18% | VAcc:80.00% VF1:80.00% | ETA:181.3min | BestVAcc:80.00%
E 47/500 | Loss:0.0889 | TrA:89.24% TrF1:89.24% | VAcc:78.75% VF1:78.75% | ETA:180.9min | BestVAcc:80.00%
E 48/500 | Loss:0.3017 | TrA:75.95% TrF1:75.95% | VAcc:68.75% VF1:68.75% | ETA:180.6min | BestVAcc:80.00%
E 49/500 | Loss:0.1444 | TrA:82.91% TrF1:82.91% | VAcc:77.50% VF1:77.50% | ETA:180.3min | BestVAcc:80.00%
E 50/500 | Loss:0.0782 | TrA:90.51% TrF1:90.51% | VAcc:81.25% VF1:81.25% | ETA:180.0min | BestVAcc:81.25%
E 51/500 | Loss:0.0779 | TrA:87.66% TrF1:87.66% | VAcc:71.25% VF1:71.25% | ETA:179.8min | BestVAcc:81.25%
E 52/500 | Loss:0.0646 | TrA:88.92% TrF1:88.92% | VAcc:78.75% VF1:78.75% | ETA:179.3min | BestVAcc:81.25%
E 53/500 | Loss:0.1203 | TrA:85.76% TrF1:85.76% | VAcc:78.75% VF1:78.75% | ETA:179.0min | BestVAcc:81.25%
E 54/500 | Loss:0.0615 | TrA:90.51% TrF1:90.51% | VAcc:78.75% VF1:78.75% | ETA:178.5min | BestVAcc:81.25%
E 55/500 | Loss:0.0953 | TrA:87.97% TrF1:87.97% | VAcc:70.00% VF1:70.00% | ETA:178.0min | BestVAcc:81.25%
E 56/500 | Loss:0.2644 | TrA:74.05% TrF1:74.05% | VAcc:78.75% VF1:78.75% | ETA:177.6min | BestVAcc:81.25%
E 57/500 | Loss:0.2304 | TrA:78.80% TrF1:78.80% | VAcc:63.75% VF1:63.75% | ETA:177.0min | BestVAcc:81.25%
E 58/500 | Loss:0.1521 | TrA:84.49% TrF1:84.49% | VAcc:77.50% VF1:77.50% | ETA:176.6min | BestVAcc:81.25%
E 59/500 | Loss:0.0757 | TrA:88.61% TrF1:88.61% | VAcc:80.00% VF1:80.00% | ETA:176.6min | BestVAcc:81.25%
E 60/500 | Loss:0.0702 | TrA:90.19% TrF1:90.19% | VAcc:81.25% VF1:81.25% | ETA:176.4min | BestVAcc:81.25%
E 61/500 | Loss:0.0684 | TrA:89.87% TrF1:89.87% | VAcc:76.25% VF1:76.25% | ETA:175.9min | BestVAcc:81.25%
E 62/500 | Loss:0.0552 | TrA:90.19% TrF1:90.19% | VAcc:82.50% VF1:82.50% | ETA:175.7min | BestVAcc:82.50%
E 63/500 | Loss:0.0384 | TrA:94.30% TrF1:94.30% | VAcc:81.25% VF1:81.25% | ETA:175.4min | BestVAcc:82.50%
E 64/500 | Loss:0.0739 | TrA:88.92% TrF1:88.92% | VAcc:85.00% VF1:85.00% | ETA:175.2min | BestVAcc:85.00%
E 65/500 | Loss:0.1124 | TrA:83.23% TrF1:83.23% | VAcc:78.75% VF1:78.75% | ETA:175.0min | BestVAcc:85.00%
E 66/500 | Loss:0.0690 | TrA:92.09% TrF1:92.09% | VAcc:82.50% VF1:82.50% | ETA:174.9min | BestVAcc:85.00%
E 67/500 | Loss:0.0871 | TrA:89.87% TrF1:89.87% | VAcc:77.50% VF1:77.50% | ETA:174.5min | BestVAcc:85.00%
E 68/500 | Loss:0.0865 | TrA:90.19% TrF1:90.19% | VAcc:78.75% VF1:78.75% | ETA:174.3min | BestVAcc:85.00%
E 69/500 | Loss:0.2048 | TrA:83.86% TrF1:83.86% | VAcc:80.00% VF1:80.00% | ETA:173.6min | BestVAcc:85.00%
E 70/500 | Loss:0.0648 | TrA:88.61% TrF1:88.61% | VAcc:81.25% VF1:81.25% | ETA:173.3min | BestVAcc:85.00%
E 71/500 | Loss:0.0434 | TrA:92.41% TrF1:92.41% | VAcc:85.00% VF1:85.00% | ETA:172.9min | BestVAcc:85.00%
E 72/500 | Loss:0.0489 | TrA:93.99% TrF1:93.99% | VAcc:85.00% VF1:85.00% | ETA:172.4min | BestVAcc:85.00%
E 73/500 | Loss:0.0370 | TrA:93.67% TrF1:93.67% | VAcc:86.25% VF1:86.25% | ETA:171.9min | BestVAcc:86.25%
E 74/500 | Loss:0.3117 | TrA:77.53% TrF1:77.53% | VAcc:61.25% VF1:61.25% | ETA:171.5min | BestVAcc:86.25%
E 75/500 | Loss:0.2007 | TrA:80.38% TrF1:80.38% | VAcc:76.25% VF1:76.25% | ETA:171.1min | BestVAcc:86.25%
E 76/500 | Loss:0.1375 | TrA:87.34% TrF1:87.34% | VAcc:80.00% VF1:80.00% | ETA:170.6min | BestVAcc:86.25%
E 77/500 | Loss:0.0606 | TrA:92.09% TrF1:92.09% | VAcc:82.50% VF1:82.50% | ETA:170.2min | BestVAcc:86.25%
E 78/500 | Loss:0.0462 | TrA:92.72% TrF1:92.72% | VAcc:85.00% VF1:85.00% | ETA:169.8min | BestVAcc:86.25%
E 79/500 | Loss:0.2303 | TrA:81.01% TrF1:81.01% | VAcc:80.00% VF1:80.00% | ETA:169.3min | BestVAcc:86.25%
E 80/500 | Loss:0.0730 | TrA:89.87% TrF1:89.87% | VAcc:76.25% VF1:76.25% | ETA:168.6min | BestVAcc:86.25%
E 81/500 | Loss:0.0741 | TrA:91.14% TrF1:91.14% | VAcc:76.25% VF1:76.25% | ETA:168.2min | BestVAcc:86.25%
E 82/500 | Loss:0.0499 | TrA:93.04% TrF1:93.04% | VAcc:85.00% VF1:85.00% | ETA:167.9min | BestVAcc:86.25%
E 83/500 | Loss:0.0363 | TrA:95.57% TrF1:95.57% | VAcc:82.50% VF1:82.50% | ETA:167.5min | BestVAcc:86.25%
E 84/500 | Loss:0.0500 | TrA:92.72% TrF1:92.72% | VAcc:82.50% VF1:82.50% | ETA:166.9min | BestVAcc:86.25%
E 85/500 | Loss:0.0567 | TrA:93.67% TrF1:93.67% | VAcc:80.00% VF1:80.00% | ETA:166.5min | BestVAcc:86.25%
E 86/500 | Loss:0.0651 | TrA:92.09% TrF1:92.09% | VAcc:73.75% VF1:73.75% | ETA:166.0min | BestVAcc:86.25%
E 87/500 | Loss:0.1028 | TrA:90.51% TrF1:90.51% | VAcc:83.75% VF1:83.75% | ETA:165.7min | BestVAcc:86.25%
E 88/500 | Loss:0.0574 | TrA:92.72% TrF1:92.72% | VAcc:83.75% VF1:83.75% | ETA:165.1min | BestVAcc:86.25%
E 89/500 | Loss:0.2017 | TrA:82.28% TrF1:82.28% | VAcc:60.00% VF1:60.00% | ETA:164.7min | BestVAcc:86.25%
E 90/500 | Loss:0.1374 | TrA:86.71% TrF1:86.71% | VAcc:78.75% VF1:78.75% | ETA:164.2min | BestVAcc:86.25%
E 91/500 | Loss:0.0545 | TrA:92.41% TrF1:92.41% | VAcc:82.50% VF1:82.50% | ETA:163.7min | BestVAcc:86.25%
E 92/500 | Loss:0.0535 | TrA:93.04% TrF1:93.04% | VAcc:77.50% VF1:77.50% | ETA:163.4min | BestVAcc:86.25%
E 93/500 | Loss:0.0495 | TrA:93.04% TrF1:93.04% | VAcc:82.50% VF1:82.50% | ETA:163.0min | BestVAcc:86.25%
E 94/500 | Loss:0.0470 | TrA:95.89% TrF1:95.89% | VAcc:77.50% VF1:77.50% | ETA:162.7min | BestVAcc:86.25%
E 95/500 | Loss:0.0221 | TrA:97.15% TrF1:97.15% | VAcc:81.25% VF1:81.25% | ETA:162.2min | BestVAcc:86.25%
E 96/500 | Loss:0.0204 | TrA:97.15% TrF1:97.15% | VAcc:82.50% VF1:82.50% | ETA:161.8min | BestVAcc:86.25%
E 97/500 | Loss:0.0171 | TrA:97.15% TrF1:97.15% | VAcc:82.50% VF1:82.50% | ETA:161.2min | BestVAcc:86.25%
E 98/500 | Loss:0.0198 | TrA:98.10% TrF1:98.10% | VAcc:85.00% VF1:85.00% | ETA:160.9min | BestVAcc:86.25%
E 99/500 | Loss:0.0214 | TrA:98.10% TrF1:98.10% | VAcc:80.00% VF1:80.00% | ETA:160.5min | BestVAcc:86.25%
E100/500 | Loss:0.1044 | TrA:90.82% TrF1:90.82% | VAcc:80.00% VF1:80.00% | ETA:160.2min | BestVAcc:86.25%
E101/500 | Loss:0.0729 | TrA:93.99% TrF1:93.99% | VAcc:75.00% VF1:75.00% | ETA:160.3min | BestVAcc:86.25%
E102/500 | Loss:0.0342 | TrA:95.25% TrF1:95.25% | VAcc:80.00% VF1:80.00% | ETA:159.8min | BestVAcc:86.25%
E103/500 | Loss:0.0230 | TrA:97.15% TrF1:97.15% | VAcc:78.75% VF1:78.75% | ETA:159.4min | BestVAcc:86.25%
E104/500 | Loss:0.0182 | TrA:96.84% TrF1:96.84% | VAcc:81.25% VF1:81.25% | ETA:158.9min | BestVAcc:86.25%
E105/500 | Loss:0.0216 | TrA:97.15% TrF1:97.15% | VAcc:82.50% VF1:82.50% | ETA:158.5min | BestVAcc:86.25%
E106/500 | Loss:0.0474 | TrA:96.84% TrF1:96.84% | VAcc:83.75% VF1:83.75% | ETA:158.0min | BestVAcc:86.25%
E107/500 | Loss:0.0333 | TrA:96.52% TrF1:96.52% | VAcc:82.50% VF1:82.50% | ETA:157.6min | BestVAcc:86.25%
E108/500 | Loss:0.0161 | TrA:97.78% TrF1:97.78% | VAcc:85.00% VF1:85.00% | ETA:157.2min | BestVAcc:86.25%
E109/500 | Loss:0.1451 | TrA:87.97% TrF1:87.97% | VAcc:75.00% VF1:75.00% | ETA:156.5min | BestVAcc:86.25%
E110/500 | Loss:0.0599 | TrA:92.41% TrF1:92.41% | VAcc:83.75% VF1:83.75% | ETA:155.5min | BestVAcc:86.25%
E111/500 | Loss:0.0163 | TrA:98.10% TrF1:98.10% | VAcc:83.75% VF1:83.75% | ETA:154.0min | BestVAcc:86.25%
E112/500 | Loss:0.0135 | TrA:98.10% TrF1:98.10% | VAcc:85.00% VF1:85.00% | ETA:153.1min | BestVAcc:86.25%
E113/500 | Loss:0.0157 | TrA:99.05% TrF1:99.05% | VAcc:81.25% VF1:81.25% | ETA:152.2min | BestVAcc:86.25%
E114/500 | Loss:0.0146 | TrA:98.73% TrF1:98.73% | VAcc:85.00% VF1:85.00% | ETA:151.0min | BestVAcc:86.25%
E115/500 | Loss:0.0223 | TrA:96.84% TrF1:96.84% | VAcc:83.75% VF1:83.75% | ETA:149.9min | BestVAcc:86.25%
E116/500 | Loss:0.1961 | TrA:89.87% TrF1:89.87% | VAcc:78.75% VF1:78.75% | ETA:148.9min | BestVAcc:86.25%
E117/500 | Loss:0.0381 | TrA:96.52% TrF1:96.52% | VAcc:82.50% VF1:82.50% | ETA:147.8min | BestVAcc:86.25%
E118/500 | Loss:0.0479 | TrA:95.25% TrF1:95.25% | VAcc:85.00% VF1:85.00% | ETA:146.6min | BestVAcc:86.25%
E119/500 | Loss:0.0188 | TrA:97.15% TrF1:97.15% | VAcc:78.75% VF1:78.75% | ETA:146.2min | BestVAcc:86.25%
E120/500 | Loss:0.0159 | TrA:97.78% TrF1:97.78% | VAcc:85.00% VF1:85.00% | ETA:146.1min | BestVAcc:86.25%
E121/500 | Loss:0.0181 | TrA:97.15% TrF1:97.15% | VAcc:85.00% VF1:85.00% | ETA:145.7min | BestVAcc:86.25%
E122/500 | Loss:0.0063 | TrA:99.68% TrF1:99.68% | VAcc:85.00% VF1:85.00% | ETA:145.2min | BestVAcc:86.25%
E123/500 | Loss:0.0132 | TrA:98.73% TrF1:98.73% | VAcc:85.00% VF1:85.00% | ETA:144.7min | BestVAcc:86.25%
E124/500 | Loss:0.0373 | TrA:97.78% TrF1:97.78% | VAcc:88.75% VF1:88.75% | ETA:144.5min | BestVAcc:88.75%
E125/500 | Loss:0.0097 | TrA:98.73% TrF1:98.73% | VAcc:87.50% VF1:87.50% | ETA:144.1min | BestVAcc:88.75%
E126/500 | Loss:0.0176 | TrA:97.78% TrF1:97.78% | VAcc:85.00% VF1:85.00% | ETA:143.7min | BestVAcc:88.75%
E127/500 | Loss:0.0600 | TrA:95.25% TrF1:95.25% | VAcc:82.50% VF1:82.50% | ETA:143.5min | BestVAcc:88.75%
E128/500 | Loss:0.0119 | TrA:98.10% TrF1:98.10% | VAcc:85.00% VF1:85.00% | ETA:143.0min | BestVAcc:88.75%
E129/500 | Loss:0.0862 | TrA:95.89% TrF1:95.89% | VAcc:85.00% VF1:85.00% | ETA:142.4min | BestVAcc:88.75%
E130/500 | Loss:0.1276 | TrA:87.66% TrF1:87.66% | VAcc:80.00% VF1:80.00% | ETA:141.7min | BestVAcc:88.75%
E131/500 | Loss:0.0605 | TrA:93.35% TrF1:93.35% | VAcc:77.50% VF1:77.50% | ETA:141.1min | BestVAcc:88.75%
E132/500 | Loss:0.0315 | TrA:94.30% TrF1:94.30% | VAcc:83.75% VF1:83.75% | ETA:140.7min | BestVAcc:88.75%
E133/500 | Loss:0.0351 | TrA:97.15% TrF1:97.15% | VAcc:85.00% VF1:85.00% | ETA:140.3min | BestVAcc:88.75%
E134/500 | Loss:0.0154 | TrA:98.73% TrF1:98.73% | VAcc:86.25% VF1:86.25% | ETA:139.8min | BestVAcc:88.75%
E135/500 | Loss:0.0112 | TrA:98.42% TrF1:98.42% | VAcc:87.50% VF1:87.50% | ETA:139.2min | BestVAcc:88.75%
E136/500 | Loss:0.0044 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:138.9min | BestVAcc:88.75%
E137/500 | Loss:0.0071 | TrA:98.73% TrF1:98.73% | VAcc:86.25% VF1:86.25% | ETA:138.4min | BestVAcc:88.75%
E138/500 | Loss:0.0091 | TrA:99.37% TrF1:99.37% | VAcc:87.50% VF1:87.50% | ETA:138.1min | BestVAcc:88.75%
E139/500 | Loss:0.0044 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:137.7min | BestVAcc:88.75%
E140/500 | Loss:0.0054 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:137.3min | BestVAcc:88.75%
E141/500 | Loss:0.0137 | TrA:99.05% TrF1:99.05% | VAcc:83.75% VF1:83.75% | ETA:137.0min | BestVAcc:88.75%
E142/500 | Loss:0.0212 | TrA:98.10% TrF1:98.10% | VAcc:87.50% VF1:87.50% | ETA:136.7min | BestVAcc:88.75%
E143/500 | Loss:0.0085 | TrA:98.10% TrF1:98.10% | VAcc:86.25% VF1:86.25% | ETA:136.3min | BestVAcc:88.75%
E144/500 | Loss:0.0463 | TrA:94.94% TrF1:94.94% | VAcc:88.75% VF1:88.75% | ETA:135.9min | BestVAcc:88.75%
E145/500 | Loss:0.3506 | TrA:81.01% TrF1:81.01% | VAcc:62.50% VF1:62.50% | ETA:135.5min | BestVAcc:88.75%
E146/500 | Loss:0.1451 | TrA:87.34% TrF1:87.34% | VAcc:85.00% VF1:85.00% | ETA:135.1min | BestVAcc:88.75%
E147/500 | Loss:0.0208 | TrA:97.78% TrF1:97.78% | VAcc:87.50% VF1:87.50% | ETA:134.7min | BestVAcc:88.75%
E148/500 | Loss:0.0205 | TrA:97.78% TrF1:97.78% | VAcc:88.75% VF1:88.75% | ETA:134.2min | BestVAcc:88.75%
E149/500 | Loss:0.0548 | TrA:96.20% TrF1:96.20% | VAcc:82.50% VF1:82.50% | ETA:133.8min | BestVAcc:88.75%
E150/500 | Loss:0.0400 | TrA:96.84% TrF1:96.84% | VAcc:85.00% VF1:85.00% | ETA:133.4min | BestVAcc:88.75%
